perfil_integrado_media,perfil_integrado_desvio,perfil_integrado_curtose,perfil_integrado_assimetria,dmsnr_media,dmsnr_desvio,dmsnr_curtose,dmsnr_assimetria,pulsar
102.2890625,45.75907566,0.231697754,0.227156434,2.27006689,14.34301971,9.500368299,117.0577236,0
120.09375,51.76531137,0.152884958,-0.395775757,3.33361204,19.67426822,7.962004044,73.62506345,0
108.8203125,58.01595061,0.396478925,-0.473085293,2.873745819,19.4694241,9.30173415,94.65563698,0
137.0859375,51.35949087,0.004315666,-0.139897478,1.691471572,11.53318438,12.52337909,219.5388777,0
93.140625,43.13201653,0.543588573,0.940103291,0.820234114,10.19305088,17.56910425,369.8416015,0
143.875,49.73932046,-0.126228394,-0.173520147,3.14632107,16.54898965,7.151597657,67.25291793,0
28.609375,29.97505066,5.159143189,31.13085748,29.71153846,57.22296561,2.196534777,4.41086239,1
122.4765625,43.59561418,0.336240078,0.406259594,1.085284281,11.99725794,14.30182339,239.4584177,0
101.1171875,41.31616306,0.479362452,0.741283898,1.756688963,14.95445137,10.6259377,133.3175404,0
124.4296875,41.08274493,-0.069510812,0.47208847,2.183110368,13.36792506,10.50906048,146.435339,0
128.765625,52.27548487,-0.109025359,-0.432126478,2.178093645,17.77951797,10.334213,118.0006578,0
89.3046875,50.00899272,0.512633112,0.50293573,3.846989967,24.29602482,6.89789687,49.77483619,0
119.9609375,54.13083143,-0.007230668,-0.551288359,1.769230769,12.60575026,11.64862912,179.5236467,0
132.59375,45.08350542,-0.007378934,0.283999669,2.651337793,18.96012379,8.554398205,81.95998741,0
113.2265625,51.88331482,0.124636232,-0.616021072,2.699832776,17.27142264,8.541856461,87.01178401,0
129.359375,50.04930918,-0.017550072,-0.124106157,1.836956522,11.90237626,11.53809209,191.5354055,0
131.1796875,46.95866427,0.117783503,0.050818583,2.901337793,17.04058597,8.466883809,87.14086884,0
87.7421875,39.16636114,0.769394292,1.934860072,5.512541806,28.62949242,5.811543823,35.09681593,0
124.421875,55.32766168,0.021536997,-0.469194807,2.005852843,14.90709689,9.897932299,117.1177467,0
121.6875,45.10417629,0.387904522,0.243706926,1.595317726,11.10914737,13.15098611,245.1662455,0
132.1484375,51.09994647,-0.089447443,-0.0189829,56.78511706,85.0518029,0.96479958,-0.859262021,0
39.6484375,52.8063369,2.081382551,3.389052512,142.9841137,56.76470165,-0.458445467,-0.045531641,1
139.2109375,45.74054758,-0.002916084,-0.000888521,2.20819398,13.41189383,9.474151122,127.1719674,0
136.5546875,53.12908934,-0.222934778,-0.216629665,7.413043478,32.983577,4.748846949,22.66344592,0
106.3671875,46.88431092,0.59113625,0.64599645,1.236622074,13.88762942,12.68935727,175.7387166,0
58.5625,49.37084634,2.466237711,5.826625538,29.47073579,62.68394987,1.96595997,2.520671988,1
103.9921875,42.93335972,0.045787826,0.665457146,1.362876254,12.12526977,12.87286833,206.3166744,0
136.71875,49.64765501,-0.141710744,-0.334110847,1.493311037,15.58032769,12.38480336,169.1109894,0
128.796875,41.4405371,-0.066360598,0.399443202,2.730769231,15.75298739,8.31660621,88.36697394,0
96.546875,39.51697803,1.128441314,2.58304544,88.47491639,87.97220528,0.238320736,-1.546453911,1
126.1484375,51.74835291,-0.105236956,-0.477203193,3.12541806,23.00376564,8.136346013,69.11075646,0
70.2578125,41.91867985,1.75397988,5.286093897,15.6312709,48.79794521,3.429935889,11.15601343,1
48.8203125,29.01304491,4.544461499,28.20759772,39.93896321,71.3074186,1.734677186,1.736682233,1
125.8046875,53.8294556,-0.085492855,-0.604316047,2.930602007,16.25670019,8.902363142,100.3679627,0
130.7109375,50.21285199,0.05999588,-0.104380149,8.845317726,36.03454752,4.137568149,16.29173167,0
129.6171875,43.90510383,0.066045936,-0.002689519,5.132943144,28.53525458,6.116694586,38.31655117,0
101.703125,37.77200505,0.453149357,1.401315104,1.897993311,15.15410127,10.47358451,129.8577561,0
107.3359375,49.75192794,0.138212658,0.043647991,10.97909699,40.17429083,3.610894509,11.84466437,0
98.8828125,32.15723604,0.727634374,3.574171074,3.135451505,19.96091618,8.24058017,77.11665748,0
122.5703125,39.1083598,0.182604812,0.604098667,1.201505017,14.65593232,13.19741138,183.8362911,0
113.0,52.7206672,0.25406438,0.013982403,2.987458194,18.92934433,8.020098696,73.22285347,0
120.3671875,56.46969197,0.171459088,-0.272106245,1.888795987,14.91290798,11.38038432,152.564805,0
132.59375,47.00655498,-0.030834766,0.283897676,3.079431438,15.86558965,7.781179237,81.296462,0
116.609375,46.47096445,0.327072156,0.2614395,1.628762542,15.56374234,10.71729783,125.4148119,0
100.40625,46.13049383,0.332176413,0.215466608,1.923913043,13.81089665,10.63997739,142.5278152,0
98.6875,43.91446765,0.552936762,0.87291316,2.517558528,14.53431619,8.575758023,100.703242,0
123.2734375,52.28851972,0.250988771,-0.141899495,3.227424749,18.1845367,7.866694578,76.32354359,0
115.546875,47.3045088,0.14080605,-0.002355085,2.12541806,15.38310075,9.5392993,109.9498952,0
113.1171875,47.34722489,0.230998641,0.134152129,1.799331104,16.17080236,10.37532035,118.131919,0
123.1953125,53.30778241,0.135242128,-0.409028356,3.83361204,21.99824957,8.072724098,73.63256983,0
77.0234375,44.50675244,1.268602281,2.605826138,7.808528428,36.83023007,5.181513792,26.51027772,1
111.1171875,46.58453692,0.35900296,0.077005281,2.275083612,14.05937295,9.571366585,121.543941,0
110.625,47.57773245,0.445925347,0.280739631,7.132107023,34.76232159,5.149891546,26.39747056,0
95.3515625,42.38616922,0.569365867,1.260704131,2.323578595,16.29134245,8.747194888,90.35900597,0
