perfil_integrado_media,perfil_integrado_desvio,perfil_integrado_curtose,perfil_integrado_assimetria,dmsnr_media,dmsnr_desvio,dmsnr_curtose,dmsnr_assimetria,pulsar
0.6311555650138327,0.44503424294827093,0.18723547281835295,0.020500471360915547,0.013934592116203357,0.16935860080461357,0.31716531521409663,0.06207151826220446,0
0.6284741434347734,0.32045644291027525,0.17836380960523252,0.030430692239449934,0.003062012308057738,0.04915062667962683,0.5466090544352001,0.2585183578203725,0
0.6509044477548415,0.3157331118294631,0.20507455487784124,0.03373814441292354,0.01306133769050969,0.1409008459450113,0.3264030412614798,0.07166048169113001,0
0.6027239838263461,0.33043993176348635,0.2088946389701643,0.0285064629531385,0.03065760180684986,0.23960890373427368,0.24164963642069992,0.02951036387661586,0
0.6305171313045329,0.3453779201100536,0.1984539400811179,0.02990306894646,0.011288593722214954,0.13120344568918563,0.33490171548926384,0.0743335093077218,0
0.6836348159182805,0.3590784416016714,0.166930910809683,0.024782992840126254,0.0032156751023600188,0.050741445555218576,0.5535372562060814,0.2677413250295096,0
0.5896573739093425,0.4629418021579917,0.19519885765657968,0.021993909305681972,0.010194214783274145,0.07842496455671795,0.3485935641693204,0.09721407159899564,0
0.6374122153649713,0.4121358753465402,0.21925931792331804,0.02524871624599321,0.007926751568117677,0.09216550646342762,0.3694922280201599,0.09942610117046194,0
0.6380080868269845,0.3887996933957912,0.1835016514171411,0.02344482627816016,0.02014481781215871,0.16549578548146743,0.28525149670500505,0.05196948220306978,0
0.5808469887210045,0.36184446504863527,0.2005649945177741,0.027473741679043626,0.010152988176754234,0.08611257276890412,0.36002864995328077,0.10401000396572281,0
0.43409236007661206,0.2494084173569025,0.26594908146223517,0.05251193806581558,0.01858195473878112,0.11462027532829967,0.266893359397657,0.04833310050824162,0
0.7513087891040647,0.3531729275639955,0.15245395934320524,0.030643944135285626,0.016992856552978584,0.17608494307908512,0.2911256986388561,0.050487259764698894,0
