model_name,scenario_name,is_balanced,feature_selection,param_grid,best_params,accuracy,accuracy_ci_lower,accuracy_ci_upper,precision,precision_ci_lower,precision_ci_upper,recall,recall_ci_lower,recall_ci_upper,f1_score,f1_score_ci_lower,f1_score_ci_upper
Naive Bayes,PCA,False,PCA,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.928480251171638,0.9087786587881784,0.948181843555097,0.6193204804640761,0.5293019263815749,0.7093390345465772,0.7128862817268614,0.6527541626089404,0.7730184008447822,0.6523286561628426,0.5943234427167009,0.7103338696089844
Naive Bayes,"Smart Correlated
(Balanced)",True,Smart Correlated,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.1},0.9296647161651,0.9070134731498536,0.9523159591803464,0.6073018736845203,0.5205038957582426,0.6940998516107977,0.8412545050226209,0.8035876256761029,0.8789213843691389,0.6962567437341904,0.6378467987868004,0.7546666886815805
Naive Bayes,ALL CHARACTERISTICS,False,ALL CHARACTERISTICS,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.9468677071039252,0.93024984775817,0.9634855664496804,0.6921917445399465,0.6020045334096498,0.7823789556702432,0.8313511233801089,0.799138173687125,0.8635640730730927,0.7479125460704942,0.6937104787402076,0.8021146134007809
Naive Bayes,"Percentile
(Balanced)",True,Select Percentile,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.944442439196424,0.9266337071911384,0.9622511712017096,0.6762142734080362,0.586509581636785,0.7659189651792871,0.8431408634307186,0.8116295555435739,0.8746521713178633,0.7427456186512459,0.6871989307734002,0.7982923065290916
Naive Bayes,Percentile,False,Select Percentile,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.9536359284425652,0.9431731031637112,0.9640987537214192,0.7248808327487055,0.6565721631690282,0.7931895023283828,0.8276320834291848,0.7968137465661356,0.8584504202922341,0.7681662934186003,0.7317533447729482,0.8045792420642525
Naive Bayes,"PCA
(Balanced)",True,PCA,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.1},0.9337822860845972,0.9115352517721164,0.9560293203970778,0.6298192052206574,0.5391189861895841,0.7205194242517307,0.8307146691204661,0.7913981895169444,0.8700311487239878,0.7066998819201429,0.6474681749290742,0.7659315889112116
Naive Bayes,"ALL CHARACTERISTICS
(Balanced)",True,ALL CHARACTERISTICS,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.9408890123867036,0.9218118055304672,0.9599662192429396,0.6574972958606758,0.5679992004723027,0.7469953912490488,0.8480944712828771,0.8131259951949561,0.883062947370798,0.7323423922649914,0.6759334558755564,0.7887513286544264
Naive Bayes,Smart Correlated,False,Smart Correlated,"[{'clf__var_smoothing': [1e-09, 1e-05, 0.001, 0.01, 0.1]}]",{'clf__var_smoothing': 0.01},0.9480520129507192,0.928953835182316,0.967150190719123,0.7222853739863848,0.6128859786046837,0.8316847693680857,0.7959895713518902,0.7546577257355026,0.8373214169682778,0.7464705142349521,0.6836077848270317,0.8093332436428726
MLP,"Percentile
(Balanced)",True,Select Percentile,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (3,), 'clf__activation': 'tanh', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.9726154975115826,0.9695576074751496,0.9756733875480156,0.8565129298305665,0.8271305577709954,0.885895301890138,0.8620408710988421,0.8420175151625526,0.8820642270351315,0.8532559087222584,0.8408821433840711,0.8656296740604458
MLP,"PCA
(Balanced)",True,PCA,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (10,), 'clf__activation': 'tanh', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.9725872304108488,0.968608204694682,0.9765662561270156,0.8696991401301392,0.8328762511735984,0.90652202908668,0.8464317664800757,0.8228227561801179,0.8700407767800334,0.8513463393878935,0.8354580840512104,0.8672345947245764
MLP,Smart Correlated,False,Smart Correlated,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (10,), 'clf__activation': 'logistic', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.97856607896985,0.977028883160885,0.9801032747788152,0.9196499936586447,0.9054302607433936,0.9338697265738962,0.839419906448892,0.8192700768987226,0.8595697359990614,0.8765803426530434,0.8667249262276434,0.8864357590784434
MLP,PCA,False,PCA,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (10,), 'clf__activation': 'tanh', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.9760276100371892,0.9729104328542666,0.979144787220112,0.9347464917217236,0.9164544363493896,0.9530385470940578,0.7928839812897784,0.7545809309774288,0.8311870316021278,0.8567267751634378,0.8350015941514751,0.8784519561754004
MLP,"ALL CHARACTERISTICS
(Balanced)",True,ALL CHARACTERISTICS,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (10,), 'clf__activation': 'logistic', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.9761407527085704,0.973871610022616,0.9784098953945246,0.8804502689475923,0.8544457331635937,0.9064548047315908,0.8652506198399919,0.8451552801895258,0.8853459594904579,0.869100718722754,0.8589250135714382,0.8792764238740697
MLP,ALL CHARACTERISTICS,False,ALL CHARACTERISTICS,"[{'clf__hidden_layer_sizes': [(10,), (3,)], 'clf__activation': ['identity', 'logistic', 'tanh', 'relu'], 'clf__learning_rate_init': [0.001, 0.01, 0.1], 'clf__solver': ['adam']}]","{'clf__hidden_layer_sizes': (10,), 'clf__activation': 'tanh', 'clf__learning_rate_init': 0.1, 'clf__solver': 'adam'}",0.97896093776856,0.9769026459146948,0.9810192296224248,0.908657018207638,0.8847957120450315,0.9325183243702444,0.8567862893949849,0.830167064740278,0.8834055140496918,0.8809537744242796,0.8688280150556608,0.8930795337928984
